id,title,sorting_category,funfact,display_value,unit,sorting_value
C21,MRE (Meal Ready to Eat),Calories,Standard military field ration.,1250,kCal,1250
C22,Human Daily Intake (Male),Calories,Recommended average.,2500,kCal,2500
C23,1kg of Body Fat,Calories,Energy stored in fat tissue.,7700,kCal,7700
C24,Tour de France Stage,Calories,Daily burn of a cyclist.,6000,kCal,6000
C25,Michael Phelps Diet,Calories,Peak training intake.,12000,kCal,12000
C26,Coal (1kg),Calories,Energy released when burning coal.,7000,kCal,7000
C27,Gasoline (1 Gallon),Calories,Energy in US gallon of petrol.,31000,kCal,31000
C28,Lightning Bolt,Calories,Energy in a single flash (approx).,1,billion kCal,1000000000
C29,TNT (1kg),Calories,Explosive energy.,1000,kCal,1000
C30,Smartphone Battery,Calories,3000mAh equivalent in food energy.,10,kCal,10
C31,AA Battery,Calories,Electrical energy content.,2,kCal,2.4
C32,Uranium (1 gram),Calories,Nuclear fission energy.,18,million kCal,18000000
C33,Hiroshima Bomb,Calories,"Yield of ""Little Boy"".",15,trillion kCal,1.50E+13
C34,Hurricane,Calories,Energy released per second.,150,trillion kCal,1.50E+14
C35,9V Battery,Calories,Typical rectangular battery.,4,kCal,4.5
C36,Shot of Vodka,Calories,1.5 oz (44ml).,97,kCal,97
C37,Cup of Rice (Cooked),Calories,White rice.,200,kCal,200
C38,Cheesecake Slice,Calories,Factory Factory style.,1000,kCal,1000
C39,Thanksgiving Dinner,Calories,Average American consumption.,4500,kCal,4500
C40,Blue Whale (Mouthful),Calories,Calories in one gulp of krill.,457000,kCal,457000
C41,Barrel of Oil,Calories,Crude oil energy.,1.4,million kCal,1400000
C42,Car Battery,Calories,Lead-acid battery.,600,kCal,600
C43,Stick of Dynamite,Calories,Alfred Nobel's invention.,500,kCal,500
C44,Tsunami,Calories,Energy of a mega-wave.,200,quadrillion kCal,2.00E+17
C45,Earthquake (Mag 7),Calories,Energy release.,470,billion kCal,4.70E+11
C46,Meteor Impact (Dinosaur Killer),Calories,Chicxulub impact.,20,billion billion kCal,2.00E+22
C47,Sun (Per Second),Calories,Energy output of the sun/sec.,9,x 10^22 kCal,9.00E+22
C48,Supernova,Calories,Death of a star.,2,x 10^41 kCal,2.00E+41
C49,Tic Tac (Mint),Calories,(Just checking you're still watching).,2,kCal,2
C50,Diet Coke,Calories,The reason you eat the Big Mac.,1,kCal,1
LS01,Mayfly,Lifespan,They don't even have mouths to eat; they just breed and die.,1,day,0.0027
LS02,Drone Ant,Lifespan,Males live just long enough to mate.,3,days,0.008
LS03,House Fly,Lifespan,They are annoying for a short time.,28,days,0.076
LS04,Dragonfly,Lifespan,Ancient predators of the insect world.,4,months,0.33
LS05,Worker Bee,Lifespan,They work themselves to death in summer.,5,months,0.41
LS06,Mouse,Lifespan,High heart rate = short life.,2,years,2
LS07,Hamster,Lifespan,The classic first pet tragedy.,3,years,3
LS08,Guinea Pig,Lifespan,Longer lived than hamsters.,6,years,6
LS09,Kangaroo,Lifespan,In the wild.,6,years,6
LS10,Domestic Rabbit,Lifespan,"With good care, they last a decade.",10,years,10
LS11,Great Dane,Lifespan,Large dogs have shorter lives than small ones.,8,years,8
LS12,Chihuahua,Lifespan,Small dogs live the longest.,17,years,17
LS13,Cheetah,Lifespan,"Fast life, short life.",12,years,12
LS14,Lion,Lifespan,In the wild (females usually outlive males).,14,years,14
LS15,Domestic Cat,Lifespan,The oldest cat lived to be 38.,15,years,15
LS16,Queen Ant,Lifespan,Much longer than the workers!,30,years,30
LS17,Polar Bear,Lifespan,In the wild.,25,years,25
LS18,Horse,Lifespan,A solid working life.,30,years,30
LS19,Chimpanzee,Lifespan,Our closest relatives.,45,years,45
LS20,Goldfish,Lifespan,"If you don't keep them in a tiny bowl, they live for decades!",40,years,40
LS21,African Elephant,Lifespan,Similar lifespan to humans in the past.,70,years,70
LS22,Average Human,Lifespan,Global average life expectancy (2023).,73,years,73
LS23,Orca (Killer Whale),Lifespan,Females can live much longer than males.,90,years,90
LS24,Macaw (Parrot),Lifespan,Often outlive their owners.,80,years,80
LS25,Lobster,Lifespan,They don't age biologically in the normal way.,100,years,100
LS26,Blue Whale,Lifespan,The giants of the deep.,90,years,90
LS27,Human (Record),Lifespan,Jeanne Calment (verified).,122,years,122
LS28,Giant Tortoise,Lifespan,Adwaita (Aldabra tortoise) lived to 255.,150,years,150
LS29,Bowhead Whale,Lifespan,Old harpoon tips from the 1800s have been found in living whales.,200,years,200
LS30,Koi Fish,Lifespan,Hanako the Koi lived to be 226 (estimated).,200,years,200
LS31,Greenland Shark,Lifespan,They don't reach puberty until they are 150.,400,years,400
LS32,Quahog Clam,Lifespan,"""Ming"" the clam was 507 years old.",500,years,500
LS33,Bristlecone Pine,Lifespan,"""Methuselah"" is a tree in California.",4850,years,4850
LS34,Glass Sponge,Lifespan,Deep sea sponge found in the East China Sea.,11000,years,11000
LS35,Immortal Jellyfish,Lifespan,Biologically immortal (reverts to polyp stage).,Infinity,years,999999
LS36,Plastic Bottle,Lifespan,Time to decompose in ocean.,450,years,450
LS37,Aluminum Can,Lifespan,Time to decompose.,200,years,200
LS38,Styrofoam Cup,Lifespan,It never truly biodegrades.,500,years,500
LS39,Cigarette Butt,Lifespan,The filter takes time to break down.,10,years,10
LS40,Apple Core,Lifespan,Biodegradable.,2,months,0.16
LS41,Red Dwarf Star,Lifespan,They burn fuel very slowly.,10,trillion years,1.00E+13
LS42,The Sun,Lifespan,Total life sequence.,10,billion years,1.00E+10
LS43,Massive Star (Type O),Lifespan,"Live fast, die young (supernova).",10,million years,1.00E+07
LS44,Proton,Lifespan,Theoretical decay time (unproven).,10^34,years,1.00E+34
LS45,Civilization,Lifespan,Average lifespan of a historical empire.,340,years,340
LS46,US Dollar Bill,Lifespan,Lifespan in circulation before wearing out.,6,years,6
LS47,Coin,Lifespan,Metal lasts longer than paper.,30,years,30
LS48,Hard Drive,Lifespan,Average failure rate increases after this.,5,years,5
LS49,GPS Satellite,Lifespan,Designed operational life.,15,years,15
LS50,Nuclear Waste (Pu-239),Lifespan,Half-life of Plutonium.,24000,years,24000
TM01,Absolute Zero,Temperature,0 Kelvin. Atoms stop moving.,-273,°C,-273.15
TM02,Boomerang Nebula,Temperature,The coldest natural place in the Universe.,-272,°C,-272
TM03,Liquid Helium,Temperature,Used to cool MRI machines.,-269,°C,-269
TM04,Pluto Surface,Temperature,Average surface temperature.,-229,°C,-229
TM05,Liquid Nitrogen,Temperature,Used for freezing warts and making ice cream.,-196,°C,-196
TM06,Vostok Station,Temperature,Coldest temperature recorded on Earth.,-89,°C,-89.2
TM07,Dry Ice,Temperature,Solid Carbon Dioxide.,-78,°C,-78.5
TM08,Mars Surface (Avg),Temperature,It gets much colder at the poles.,-60,°C,-60
TM09,Mercury (Night),Temperature,No atmosphere to keep heat in.,-180,°C,-180
TM10,Commercial Freezer,Temperature,Standard food storage.,-18,°C,-18
TM11,Water Freezing Point,Temperature,32°F.,0,°C,0
TM12,Fridge Temperature,Temperature,Keep your milk here.,4,°C,4
TM13,Room Temperature,Temperature,Standard comfort.,20,°C,20
TM14,Human Body,Temperature,98.6°F.,37,°C,37
TM15,Death Valley Record,Temperature,Hottest air temp recorded on Earth.,56,°C,56.7
TM16,Sauna,Temperature,A hot Finnish sauna.,80,°C,80
TM17,Water Boiling Point,Temperature,At sea level.,100,°C,100
TM18,Maillard Reaction,Temperature,When food browns and gets tasty.,154,°C,154
TM19,Paper Burns,Temperature,Fahrenheit 451.,233,°C,233
TM20,Lead Melting Point,Temperature,Used in soldering.,327,°C,327
TM21,Venus Surface,Temperature,Hottest planet due to greenhouse effect.,462,°C,462
TM22,Wood Fire,Temperature,Typical campfire.,600,°C,600
TM23,Lava,Temperature,Molten rock.,1000,°C,1000
TM24,Jet Engine (Inside),Temperature,Turbine blade environment.,1700,°C,1700
TM25,Light Bulb Filament,Temperature,Tungsten glowing.,2500,°C,2500
TM26,Iron Melting Point,Temperature,Liquid metal.,1538,°C,1538
TM27,Diamond Melting Point,Temperature,Even diamonds aren't forever.,3550,°C,3550
TM28,Sun Surface,Temperature,Photosphere.,5500,°C,5500
TM29,Earth's Core,Temperature,As hot as the surface of the sun.,6000,°C,6000
TM30,Lightning Bolt,Temperature,Hotter than the sun's surface!,30000,°C,30000
TM31,Nuclear Explosion,Temperature,Fireball core.,100,million °C,1.00E+08
TM32,Sun's Core,Temperature,Where fusion happens.,15,million °C,1.50E+07
TM33,ITER Fusion Reactor,Temperature,Man-made sun on Earth.,150,million °C,1.50E+08
TM34,Supernova,Temperature,Core collapse.,100,billion °C,1.00E+11
TM35,Large Hadron Collider,Temperature,Smashing particles (generated heat).,5.5,trillion °C,5.50E+12
TM36,Universe (1s after Big Bang),Temperature,Cooling down rapidly.,10,billion °C,1.00E+10
TM37,Planck Temperature,Temperature,Absolute Hot. Physics breaks down above this.,1.4,x 10^32 °C,1.40E+32
TM38,Pizza Oven,Temperature,For a Neapolitan pizza.,450,°C,450
TM39,Cremation,Temperature,Required heat.,900,°C,900
TM40,Bunsen Burner,Temperature,Blue flame.,1200,°C,1200
TM41,Candle Flame,Temperature,"Yellow part is cooler, blue is hotter.",1000,°C,1000
TM42,Deep Space,Temperature,Cosmic Microwave Background.,-270,°C,-270.4
TM43,Surface of Mercury (Day),Temperature,Hot enough to melt lead.,430,°C,430
TM44,Oven (Baking),Temperature,Standard 350°F.,180,°C,180
TM45,Hot Tub,Temperature,Safe limit.,40,°C,40
TM46,Coldest Shower,Temperature,Unpleasant.,10,°C,10
TM47,Coffee (Serving),Temperature,Don't burn your tongue.,70,°C,70
TM48,Steak (Medium Rare),Temperature,Internal temp.,54,°C,54
TM49,Chicken (Cooked Safe),Temperature,Salmonella killed.,74,°C,74
TM50,Sous Vide Egg,Temperature,The perfect yolk.,63,°C,63
